# Ghomala' Lexicon (Generated from @ghomala-2025-11-26-18_34_57.csv)
# Format: word<TAB>p h o n e m e s
# The phonemes here are the Ghomala' orthographic symbols themselves, including accents,
# as determined by our linguistic deep dive.

ánûsi	á n û s i
bà	b à
baa	b a a
bà'a	b à ' a
bâ'a	b â ' a
baan	b a a n
bá'gɛ	b á ' g ɛ
bàk	b à k
bap	b a p
bâpbâp	b â p b â p
bapgù	b a p g ù
bátə̀	b á t ə ̀
bə́	b ə ́
bə̆gne	b ə ̆ g n e
bə̂mgǒp	b ə ̂ m g ǒ p
bə̀ŋ̅	b ə ̀ ŋ ̅
bə̌ŋg	b ə ̌ ŋ g
bɛ̌bə̀ŋ	b ɛ ̌ b ə ̀ ŋ
bɛ̂tsə́	b ɛ ̂ t s ə ́
bîŋ	b î ŋ
biyɛ́	b i y ɛ ́
bô	b ô
bʉə̌	b ʉ ə̌
bʉ̌m	b ʉ ̌ m
cɛ̂n	c ɛ ̂ n
chieuh	c h i e u h
chîŋ	c h î ŋ
chòm	c h ò m
có'	c ó '
cɔktə	c ɔ k t ə
cwaə̀'	c w a ə ̀ '
cwaə̀'nyə̀	c w a ə ̀ ' n y ə ̀
cwə́	c w ə ́
cwiə̆	c w i ə ̆
cwiə̌	c w i ə ̌
cwìə́	c w ì ə ́
cwìə̂	c w ì ə ̂
cyə̀ə	c y ə ̀ ə
da'	d a '
baa	b a a
dá'	d á '
dà	d à
dà'dà'	d à ' d à '
da'gaə́	d a ' g a ə ́
dàm	d à m
dê	d ê
dêk	d ê k
dèntə̀	d è n t ə ̀
denyə̀	d e n y ə ̀
dəfo	d ə f o
də̀m	d ə ̀ m
dɛ̌	d ɛ ̌
didyə	d i d y ə
dìi	d ì i
dī syə	d ī   s y ə
djap	d j a p
djâp	d j â p
djem	d j e m
djēm	d j ē m
djɔm	d j ɔ m
djùm	d j ù m
djŭm	d j ŭ m
djʉ̂m	d j ʉ ̂ m
do	d o
dò	d ò
dô	d ô
dô'	d ô '
dǒ	d ǒ
dôo	d ô o
dɔmdɔm	d ɔ m d ɔ m
dʉõp	d ʉ õ p
dyə̌	d y ə ̌
dzam	d z a m
dzē	d z ē
dze̅	d z e ̅
dzĕu	d z ĕ u
faə̀	f a ə ̀
fə̀ə	f ə ̀ ə
fə̀tré	f ə ̀ t r é
gɛ̀	g ɛ ̀
gɛ̀nkɛ̀	g ɛ ̀ n k ɛ ̀
gɛ̀ŋ	g ɛ ̀ ŋ
ghômsî	g h ô m s î
ghò’o	g h ò ’ o
ghui	g h u i
ghûm	g h û m
gɔ̂	g ɔ ̂
gɔ́p	g ɔ p
gu'	g u '
gú'	g ú '
gû	g û
gùu	g ù u
gʉ̌'	g ʉ ̌ '
gʉdôm	g ʉ d ô m
gʉɔ̀	g ʉ ɔ ̀
gwe	g w e
gwi	g w i
gwò'	g w ò '
gwɔ̀'	g w ɔ ̀ '
há	h á
je	j e
jeŋʉe	j e ŋ ʉ e
jetse	j e t s e
jʉ	j ʉ
jʉ'	j ʉ '
kǎ	k ǎ
kák	k á k
kàk	k à k
káwù	k á w ù
ké	k é
kə̀kə̀m	k ə ̀ k ə ̀ m
khi	k h i
kodje	k o d j e
kɔ́m	k ɔ ́ m
kǔ	k ǔ
ku̅'i	k u ̅ ' i
kuǐ	k u i ǐ
ku̅i	k u i ̅
küitsə́	k ü i t s ə ́
kuŋ	k u n g
kúsó	k ú s ó
kʉ̀o	k ʉ ̀ o
kʉ̆o̅	k ʉ ̆ o ̅
kʉ̂o	k ʉ ̂ o
kʉ̌oh	k ʉ ̌ o h
kwĕ	k w ĕ
kwẽ	k w ẽ
kwe̅	k w e ̅
kyá	k y á
lǎ'	l ǎ '
lǎ'	l ǎ '
lányə́	l á n y ə ́
làsĩ	l a s î
leŋgɔ̌p	l e ŋ g ɔ ̌ p
lə́m	l ə ́ m
lə̀m	l ə ̀ m
ləmnyə	l ə m n y ə
lə̀mnyə̀	l ə ̀ m n y ə ̀
lə́mtə̀	l ə ́ m t ə ̀
lə̀ŋ	l ə ̀ ŋ
lì	l ì
lù	l ù
lu̍ngǎ	l u ̍ n g ǎ
lúŋ	l ú ŋ
lǔŋ	l ǔ ŋ
madje	m a d j e
màtisi	m à t i s i
mbə̀in	m b ə ̀ i n
mbə̆in	m b ə ̆ i n
mbə̃in	m b ə ̃ i n
mcyə	m c y ə
mebèn	m e b è n
medjui	m e d j u i
meuh	m e u h
meuhdj’ièh	m e u h d j ’ i è h
mə́twâ	m ə ́ t w â
mfʉ̃	m f ʉ ̃
mfʉ̄	m f ʉ ̄
mhwî	m h w î
mì	m ì
mí	m í
mie	m i e
mlà	m l à
mlâ	m l â
mlê	m l ê
mlù	m l ù
mlû	m l û
mnyə	m n y ə
mó	m ó
mò	m ò
moktsù	m o k t s ù
mtu'	m t u '
mtútúŋ	m t ú t ú ŋ
mú	m ú
na'	n a '
nàm	n à m
ndàm	n d à m
nguə̀n	n g u ə ̀ n
nkə̃ing	n k ə ̃ i n g
nɔ̀mtə̀mà'	n ɔ ̀ m t ə ̀ m à '
ntú	n t ú
ntu'ú	n t u ' ú
nwə́	n w ə ́
nyá	n y á
nyə̆ptse	n y ə ̆ p t s e
ŋchâng	ŋ c h â n g
ŋchə̂n	ŋ c h ə ̂ n
ŋchʉ̂	ŋ c h ʉ ̂
ŋchʉ̂mα̌	ŋ c h ʉ ̂ m α ̌
ŋgwə̀	ŋ g w ə ̀
ŋkà	ŋ k à
ŋkà'	ŋ k à '
ŋkap	ŋ k a p
ŋkə̂p	ŋ k ə ̂ p
ŋkhə	ŋ k h ə
ŋkhi	k n h i
ŋkǐ	ŋ k ǐ
ŋkò	ŋ k ò
ŋkôlissi	ŋ k ô l i s s i
ŋò'	ŋ ò '
ŋsáin	ŋ s á i n
ŋsãinn	ŋ s ã i n n
ŋvʉ̀	ŋ v ʉ ̀
ŋwenene	ŋ w e n e n e
ŋye	ŋ y e
nyə̆ptse	n y ə ̆ p t s e
pǎp	p ǎ p
pe'e	p e ' e
peu'e	p e u ' e
peuh	p e u h
phàŋ	p h à ŋ
pò	p ò
pòmnə̀ŋ	p ò m n ə ̀ ŋ
pù'	p ù '
pù sim	p ù   s i m
pʉ̌m	p ʉ ̌ m
pʉ̀mm	p ʉ ̀ m m
pya	p y a
rhé	r h é
schuə̌m’nue	s c h u ə ̌ m ’ n u e
sekù	s e k ù
setə	s e t ə
sɛnyə̀	s ɛ n y ə ̀
shieu’dze	s h i e u ’ d z e
shʉ̆ŋg	s h ʉ ̆ ŋ g
shyə	s h y ə
sɔ̀k	s ɔ ̀ k
sɔktʉ́m	s ɔ k t ʉ ́ m
sɔ̀m	s ɔ ̀ m
sùsò	s ù s ò
ta	t a
tà'a	t à ' a
tám	t á m
tàmm	t à m m
tə̌mù	t ə ̌ m ù
tɛ́	t ɛ ́
thâ'a	t h â ' a
thõū	t h õ ū
thõu̅	t h õ u ̅
tò	t ò
tô'o	t ô ' o
tsò’osi	t s ò ’ o s i
tsŏ’ûtse	t s ŏ ’ û t s e
tsʉ́	t s ʉ ́
tsʉ́m	t s ʉ ́ m
tùkoâr	t ù k o â r
tʉ̌shyə	t ʉ ̌ s h y ə
vàm	v à m
wĕ	w ĕ
wə̀ŋgrissĩ	w ə ̀ ŋ g r i s s î
wə̀p	w ə ̀ p
wòk	w ò k
wù'	w ù '
wũ	w ũ
wù'kwə̀	w ù ' k w ə ̀
wʉ̃kuop	w ʉ ̃ k u o p
yòmòk	y ò m ò k
ywə́tsʉ	y w ə ́ t s ʉ
